social_support_social_support,generosity_generosity,logged_gdp_per_capita_log_gdp_per_capita,explained_by_freedom_to_make_life_choices_negative_affect,perceptions_of_corruption_perceptions_of_corruption,explained_by_social_support_positive_affect,ladder_score_life_ladder,freedom_to_make_life_choices_freedom_to_make_life_choices,healthy_life_expectancy_healthy_life_expectancy_at_birth
0.954,-0.098,10.775,0.691,0.186,1.106,7.842,0.949,72.000
0.954,0.030,10.933,0.686,0.179,1.108,7.620,0.946,72.700
0.942,0.025,11.117,0.653,0.292,1.079,7.571,0.919,74.400
0.983,0.160,10.878,0.698,0.673,1.172,7.554,0.955,73.000
0.942,0.175,10.932,0.647,0.338,1.079,7.464,0.913,72.400
0.954,0.093,11.053,0.703,0.270,1.108,7.392,0.960,73.300
0.934,0.086,10.867,0.685,0.237,1.062,7.363,0.945,72.700
0.908,-0.034,11.647,0.639,0.386,1.003,7.324,0.907,72.600
0.948,0.134,10.643,0.665,0.242,1.094,7.277,0.929,73.400
0.934,0.042,10.906,0.640,0.481,1.062,7.268,0.908,73.300
0.940,0.159,10.796,0.647,0.442,1.076,7.183,0.914,73.900
0.939,0.031,10.575,0.509,0.753,1.074,7.157,0.800,73.503
0.903,0.011,10.873,0.600,0.460,0.993,7.155,0.875,72.500
0.926,0.089,10.776,0.648,0.415,1.044,7.103,0.915,73.800
0.947,0.077,11.342,0.606,0.363,1.092,7.085,0.879,72.400
0.891,-0.126,9.880,0.673,0.809,0.966,7.069,0.934,71.400
0.934,0.233,10.707,0.580,0.459,1.062,7.064,0.859,72.500
0.947,-0.208,10.556,0.580,0.868,1.090,6.965,0.858,70.807
0.920,0.098,11.023,0.554,0.698,1.030,6.951,0.837,68.200
0.906,-0.153,10.823,0.489,0.646,0.998,6.834,0.783,72.199
0.942,-0.147,10.704,0.536,0.571,1.081,6.690,0.822,74.000
0.862,0.089,10.669,0.661,0.722,0.899,6.647,0.925,69.495
0.931,0.133,10.674,0.664,0.653,1.055,6.602,0.927,72.200
0.898,-0.070,10.871,0.490,0.721,0.982,6.584,0.784,69.600
0.844,0.074,11.085,0.670,0.589,0.860,6.561,0.932,67.333
0.891,-0.149,10.743,0.603,0.684,0.964,6.494,0.877,66.603
0.932,-0.081,10.571,0.462,0.745,1.057,6.491,0.761,74.700
0.880,-0.084,10.623,0.379,0.866,0.940,6.483,0.693,73.800
0.948,-0.101,10.529,0.690,0.806,1.093,6.461,0.949,71.400
0.813,-0.038,9.053,0.638,0.775,0.790,6.435,0.906,64.958
0.925,-0.092,9.966,0.625,0.590,1.042,6.431,0.896,69.100
0.915,-0.018,11.488,0.664,0.082,1.019,6.377,0.927,76.953
0.821,0.257,9.318,0.593,0.917,0.807,6.372,0.869,63.813
0.936,-0.124,10.369,0.468,0.911,1.066,6.331,0.766,69.201
0.882,-0.071,9.577,0.514,0.756,0.944,6.330,0.804,66.601
0.831,-0.147,9.859,0.585,0.799,0.830,6.317,0.862,68.597
0.877,-0.137,9.186,0.618,0.884,0.932,6.309,0.890,67.500
0.935,-0.203,10.499,0.476,0.826,1.065,6.255,0.773,67.906
0.802,-0.015,10.576,0.464,0.844,0.765,6.223,0.763,73.898
0.941,-0.106,10.481,0.641,0.527,1.079,6.189,0.909,68.800
0.896,-0.166,10.350,0.596,0.856,0.976,6.180,0.872,69.652
0.918,0.311,8.836,0.716,0.515,1.027,6.179,0.970,65.255
0.882,-0.044,10.071,0.438,0.830,0.946,6.172,0.742,70.000
0.898,-0.165,10.382,0.558,0.735,0.982,6.166,0.841,69.702
